_id,airline,name,alias,iata,icao,active,country,base
56e9b497732b6122f8790c1e,2466,Friendship Airlines,,FLF,FRIEND AIR,N,Uganda,COS
56e9b497732b6122f8790c1f,2467,Froggy Corporate Aviation,,FGY,,N,Australia,NUL
56e9b497732b6122f8790c20,2468,Frontier Airlines,F9,FFT,FRONTIER FLIGHT,Y,United States,YYT
56e9b497732b6122f8790c21,2469,Frontier Commuter,,ITR,OUT BACK,N,United States,POI
56e9b497732b6122f8790c22,2470,Frontier Flying Service,2F,FTA,FRONTIER-AIR,Y,United States,SDY
56e9b497732b6122f8790c23,2471,Frontier Guard,,FNG,FINNGUARD,N,Finland,UAQ
56e9b497732b6122f8790c24,2472,Fujairah Aviation Centre,,FUJ,FUJAIRAH,N,United Arab Emirates,KVD
56e9b497732b6122f8790c25,2473,Fujian Airlines,,CFJ,FUJIAN,N,China,THX
56e9b497732b6122f8790c26,2474,Full Express,,GAX,GRAND AIRE,N,United States,CUL
56e9b497732b6122f8790c27,2475,Fumigacion Aerea Andaluza,,FAM,FAASA,N,Spain,DNR
56e9b497732b6122f8790c28,2476,Fun Flying Thai Air Service,,FFY,FUN FLYING,N,Thailand,SZZ
56e9b497732b6122f8790c29,2477,Fundació Rego,,ROG,REGO,N,Spain,PEE
56e9b497732b6122f8790c2a,2478,Funtshi Aviation Service,,FUN,FUNTSHI,N,Democratic Republic of the Congo,TXN
56e9b497732b6122f8790c2b,2479,Futura Gael,,FGL,Applewood,N,Ireland,TNO
56e9b497732b6122f8790c2c,2456,Freedom Airlines,,FRL,FREEDOM AIR,Y,United States,PIN
56e9b497732b6122f8790c2d,2480,Futura International Airways,FH,FUA,FUTURA,N,Spain,PGF
56e9b497732b6122f8790c2e,2481,G & L Aviation,,GML,GEEANDEL,N,South Africa,JHM
56e9b497732b6122f8790c2f,2482,G5 Executive,,EXH,BATMAN,N,Germany,YLE
56e9b497732b6122f8790c30,2483,GAK/Mitchell Aero,,MTA,GAK AVIATION,N,United States,KGF
56e9b497732b6122f8790c31,2484,GATSA,,GGS,GATSA,N,Mexico,VUP
56e9b497732b6122f8790c32,2485,GB Airlink,,GBX,ISLAND TIGER,N,United States,ACH
56e9b497732b6122f8790c33,2486,GB Airways,GT,GBL,GEEBEE AIRWAYS,Y,United Kingdom,EGE
56e9b497732b6122f8790c34,2462,France Marine Nationale,,FNY,FRENCH NAVY,N,France,MQJ
56e9b497732b6122f8790c35,2487,GCS Air Service,,GCS,GALION,N,United States,KUF
56e9b497732b6122f8790c36,2488,GEC Marconi Avionics,,FFU,FERRANTI,N,United Kingdom,TXL
56e9b497732b6122f8790c37,2489,GECAS,,GCC,GECAS,N,Ireland,NSI
56e9b497732b6122f8790c38,2490,GENSA,,GEN,GENSA-BRASIL,N,Brazil,PAC
56e9b497732b6122f8790c39,2491,GETRA,,GET,GETRA,N,Equatorial Guinea,CBQ
